Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction ends, lidar, 0, 1, 100000000, 0, 100305600, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 100000000, 0, 100329800, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 100000000, 0, 100488100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 100000000, 0, 100488300, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 100000000, 1, 100488800, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 100000000, 1, 100489000, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 100000000, 1, 100517800, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 100000000, 1, 100518000, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 100000000, 1, 100518200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 100000000, 1, 100518600, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 102000000, 0, 102287900, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 102000000, 0, 102288500, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 102000000, 0, 102290900, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 102000000, 0, 102291400, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 102000000, 0, 102454200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 102000000, 0, 102454500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 102000000, 1, 102454900, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 102000000, 1, 102455100, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 102000000, 1, 102472700, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 102000000, 1, 102472900, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 102000000, 1, 102473100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 102000000, 1, 102473400, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 110000000, 0, 110084500, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 110000000, 0, 110085600, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 110000000, 0, 110086600, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 110000000, 0, 110103500, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 110000000, 0, 110260400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 110000000, 0, 110260600, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 110000000, 1, 110261100, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 110000000, 1, 110261200, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 110000000, 1, 110297200, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 110000000, 1, 110297400, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 110000000, 1, 110297700, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 110000000, 1, 110298000, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 120000000, 0, 120180700, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 120000000, 0, 120182400, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 120000000, 0, 120184000, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 120000000, 0, 120204600, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 120000000, 0, 120363500, NO TRIGGER, 0, <>, <>
Reaction starts, semantic, 1, 1, 120000000, 0, 120363800, NO TRIGGER, 0, <semantic.t:>, <>
Reaction ends, semantic, 1, 1, 120000000, 0, 120363900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 120000000, 0, 120364100, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 120000000, 1, 120364500, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 120000000, 1, 120364600, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 120000000, 1, 120388600, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 120000000, 1, 120388800, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 120000000, 1, 120388900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 120000000, 1, 120389200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 130000000, 0, 130186900, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 130000000, 0, 130188500, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 130000000, 0, 130189700, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 130000000, 0, 130212400, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 130000000, 0, 130331100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 130000000, 0, 130331300, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 130000000, 1, 130331700, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 130000000, 1, 130331900, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 130000000, 1, 130354600, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 130000000, 1, 130354700, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 130000000, 1, 130354900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 130000000, 1, 130355200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 135000000, 0, 135155900, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 135000000, 0, 135156900, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 135000000, 0, 135157700, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 135000000, 0, 135158300, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 135000000, 0, 135323600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 135000000, 0, 135323900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 135000000, 1, 135324300, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 135000000, 1, 135328800, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 135000000, 1, 135353500, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 135000000, 1, 135353700, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 135000000, 1, 135353900, NO TRIGGER, 0, <>, <>
